gland_id,patch_loc,patch_gland_ind,relative_area
0,113664_19456,1,0.8989124298095703
1,8192_28672,1,0.015196800231933594
2,66560_7168,1,0.8179817199707031
3,66560_7168,2,0.054320335388183594
4,63488_21504,1,0.9369258880615234
5,66560_9216,1,0.040976524353027344
6,66560_9216,2,0.06562995910644531
7,66560_9216,3,0.1691131591796875
8,64512_9216,1,0.9038009643554688
9,96256_15360,1,0.3091554641723633
10,96256_15360,3,0.031052589416503906
11,96256_15360,4,0.023009300231933594
12,30720_23552,3,0.050708770751953125
13,30720_23552,4,0.31030845642089844
14,30720_23552,6,0.017942428588867188
15,27648_17408,1,0.8495893478393555
16,33792_8192,1,0.5451164245605469
17,33792_8192,2,0.019733428955078125
18,33792_8192,3,0.10338497161865234
19,33792_8192,4,0.03885364532470703
20,98304_20480,1,0.5230445861816406
21,98304_20480,2,0.1744556427001953
22,64512_13312,1,0.06383419036865234
23,64512_13312,3,0.023267745971679688
24,81920_27648,1,0.5036773681640625
25,91136_25600,1,0.7757368087768555
26,6144_22528,1,0.8616104125976562
27,6144_22528,2,0.015928268432617188
28,11264_23552,2,0.3083171844482422
29,11264_23552,3,0.5166339874267578
30,117760_16384,1,0.8501863479614258
31,99328_13312,1,0.26752281188964844
32,99328_13312,2,0.18604469299316406
33,99328_13312,4,0.011647224426269531
34,29696_8192,1,0.9730939865112305
35,61440_9216,1,0.12931060791015625
36,61440_9216,3,0.5114736557006836
37,3072_22528,1,0.6472845077514648
38,67584_9216,1,0.08695602416992188
39,67584_9216,2,0.015592575073242188
40,67584_9216,3,0.13651657104492188
41,70656_5120,1,0.18863582611083984
42,70656_5120,2,0.005214691162109375
43,70656_5120,3,0.02789306640625
44,6144_32768,1,0.4214000701904297
45,94208_24576,1,0.020963668823242188
46,94208_24576,2,0.06365776062011719
47,94208_24576,3,0.3755474090576172
48,94208_24576,4,0.033809661865234375
49,88064_27648,1,0.5401430130004883
50,88064_27648,3,0.009916305541992188
51,88064_27648,4,0.04310131072998047
52,6144_18432,1,0.8366975784301758
53,6144_18432,3,0.029378890991210938
54,121856_38912,1,0.060683250427246094
55,121856_38912,2,0.011297225952148438
56,121856_38912,3,0.06672954559326172
57,121856_38912,4,0.017752647399902344
58,121856_38912,5,0.02820873260498047
59,90112_21504,2,0.0066127777099609375
60,90112_21504,3,0.25371360778808594
61,90112_21504,4,0.007678985595703125
62,90112_21504,5,0.2549161911010742
63,90112_21504,6,0.0056591033935546875
64,126976_25600,1,0.2104482650756836
65,126976_25600,4,0.047209739685058594
66,7168_16384,1,0.24616527557373047
67,7168_16384,2,0.04337596893310547
68,7168_16384,3,0.009434700012207031
69,7168_16384,4,0.007306098937988281
70,7168_16384,5,0.09714508056640625
71,7168_16384,6,0.1797037124633789
72,7168_16384,7,0.020650863647460938
73,5120_21504,1,0.8167200088500977
74,117760_20480,1,0.17074298858642578
75,117760_20480,2,0.00505828857421875
76,117760_20480,3,0.03572273254394531
77,113664_24576,1,0.34008026123046875
78,113664_24576,2,0.11917686462402344
79,113664_24576,3,0.021633148193359375
80,13312_12288,1,0.9496927261352539
81,124928_22528,1,0.4078092575073242
82,124928_22528,2,0.13536357879638672
83,124928_22528,3,0.06841850280761719
84,7168_11264,1,0.057274818420410156
